city,state,soil_type,N,P,K,temperature,humidity,ph,rainfall,season,month,label
siliguri,west_bengal,laterite,82,48,36,23.8,84.6,5.1,230.5,Kharif,9,rice
kolkata,west_bengal,alluvial,66,36,57,26.3,72.7,6.3,165.0,Kharif,7,rice
ludhiana,punjab,alluvial,73,60,47,30.6,69.1,7.4,177.3,Kharif,6,sugarcane
amritsar,punjab,alluvial,100,46,62,17.4,36.8,6.9,158.2,Kharif,9,rice
nagpur,maharashtra,black,87,57,75,29.9,49.5,6.2,90.5,Kharif,8,soybean
mahendragarh,haryana,sandy_loam,45,16,21,24.6,40.1,7.9,40.5,Rabi,11,gram
jodhpur,rajasthan,sandy,24,29,17,36.9,17.1,7.6,72.3,Kharif,7,millets
pune,maharashtra,black,89,32,61,27.5,54.8,6.3,96.5,Rabi,11,wheat
madurai,tamil_nadu,loamy,65,38,47,23.7,66.1,6.5,210.1,Kharif,8,groundnut
ludhiana,punjab,alluvial,109,58,33,10.0,46.4,6.8,190.0,Rabi,2,wheat
ludhiana,punjab,alluvial,88,45,44,30.5,61.1,7.1,198.1,Kharif,8,rice
madurai,tamil_nadu,loamy,92,47,44,34.1,52.6,6.9,117.0,Kharif,6,groundnut
ludhiana,punjab,alluvial,88,59,36,27.4,46.1,7.1,89.6,Kharif,8,rice
jaipur,rajasthan,sandy,30,35,33,38.2,16.3,7.5,33.1,Rabi,11,barley
nagpur,maharashtra,black,95,57,67,28.1,34.5,6.9,156.7,Kharif,9,cotton
amritsar,punjab,alluvial,93,58,52,10.9,38.8,6.8,147.9,Kharif,6,maize
thiruvananthapuram,kerala,laterite,63,51,42,29.3,76.4,5.8,372.4,Kharif,8,rice
chennai,tamil_nadu,clay,75,40,51,34.6,55.7,7.1,136.5,Annual,3,banana
siliguri,west_bengal,laterite,63,30,60,24.1,69.6,5.1,244.1,Kharif,7,maize
pune,maharashtra,black,69,56,49,19.2,58.1,6.4,99.0,Kharif,8,groundnut
ludhiana,punjab,alluvial,102,52,51,34.5,56.1,7.4,67.3,Kharif,8,maize
nagpur,maharashtra,black,62,38,67,24.2,61.5,6.4,197.8,Kharif,8,cotton
ludhiana,punjab,alluvial,86,41,52,19.8,55.6,7.3,153.0,Kharif,7,sugarcane
kochi,kerala,loamy,82,34,61,28.4,85.0,5.6,425.0,Annual,6,coconut
jodhpur,rajasthan,sandy,40,22,37,28.5,13.8,7.9,75.8,Kharif,9,pulses
madurai,tamil_nadu,loamy,89,48,44,27.3,70.8,6.3,109.4,Kharif,7,groundnut
thiruvananthapuram,kerala,laterite,79,44,49,29.4,79.2,6.2,391.2,Kharif,8,tapioca
kochi,kerala,loamy,60,48,72,28.6,84.3,5.6,438.0,Annual,11,coconut
pune,maharashtra,black,64,55,47,17.8,36.6,7.0,145.6,Rabi,1,gram
thiruvananthapuram,kerala,laterite,76,50,53,25.6,82.5,5.7,233.7,Kharif,9,rice
madurai,tamil_nadu,loamy,56,54,48,24.8,70.1,6.7,145.0,Kharif,6,groundnut
jodhpur,rajasthan,sandy,49,14,40,32.2,25.9,8.1,32.2,Kharif,6,millets
thiruvananthapuram,kerala,laterite,82,43,61,31.3,78.0,5.2,369.5,Annual,10,coconut
jaipur,rajasthan,sandy,42,39,44,31.5,33.8,7.4,27.7,Rabi,12,barley
nagpur,maharashtra,black,81,45,74,19.5,36.0,6.4,81.4,Kharif,8,cotton
pune,maharashtra,black,76,40,69,23.9,37.2,6.8,114.5,Kharif,9,cotton
thiruvananthapuram,kerala,laterite,86,42,50,24.0,76.3,6.1,367.8,Kharif,6,tapioca
lucknow,uttar_pradesh,alluvial,91,37,43,21.3,41.2,6.5,189.0,Rabi,12,wheat
siliguri,west_bengal,laterite,81,39,39,27.7,73.4,6.4,268.4,Kharif,7,maize
madurai,tamil_nadu,loamy,91,43,39,33.3,54.5,6.3,125.8,Annual,2,sugarcane
jaipur,rajasthan,sandy,49,23,44,40.9,27.6,8.3,67.0,Rabi,1,barley
kochi,kerala,loamy,69,34,42,29.3,89.2,5.7,205.1,Kharif,8,rice
amritsar,punjab,alluvial,100,61,38,21.7,41.5,7.2,132.0,Rabi,12,wheat
amritsar,punjab,alluvial,80,70,44,9.8,35.8,6.8,121.3,Kharif,6,maize
siliguri,west_bengal,laterite,57,43,57,25.8,66.1,6.0,210.3,Kharif,7,rice
madurai,tamil_nadu,loamy,86,55,36,26.5,60.7,6.4,150.8,Kharif,6,groundnut
kolkata,west_bengal,alluvial,86,45,43,26.1,70.9,6.9,202.8,Kharif,9,rice
amritsar,punjab,alluvial,103,70,55,14.0,59.2,7.0,98.0,Kharif,7,rice
siliguri,west_bengal,laterite,65,32,37,18.6,71.3,6.1,264.0,Kharif,8,maize
madurai,tamil_nadu,loamy,51,45,62,26.2,62.2,6.4,116.2,Annual,6,banana
nagpur,maharashtra,black,77,52,40,27.3,37.6,6.2,116.9,Annual,12,oranges
jodhpur,rajasthan,sandy,51,24,40,22.4,18.8,7.9,27.0,Kharif,9,millets
madurai,tamil_nadu,loamy,80,47,51,26.5,74.9,6.6,129.3,Kharif,8,groundnut
jaipur,rajasthan,sandy,41,22,23,35.9,24.5,8.1,115.1,Rabi,1,barley
kochi,kerala,loamy,68,60,57,29.1,89.6,6.0,270.7,Annual,4,coconut
ludhiana,punjab,alluvial,84,51,35,16.2,61.2,6.6,56.8,Kharif,8,rice
mahendragarh,haryana,sandy_loam,33,35,47,28.8,24.1,7.0,57.0,Rabi,1,gram
jaipur,rajasthan,sandy,36,16,28,40.7,29.3,8.2,60.1,Rabi,1,barley
ludhiana,punjab,alluvial,79,65,48,33.6,42.6,6.7,133.7,Rabi,12,wheat
siliguri,west_bengal,laterite,79,41,47,20.9,71.1,6.3,348.0,Kharif,7,maize
nagpur,maharashtra,black,63,54,46,35.1,38.3,6.2,152.5,Annual,10,oranges
amritsar,punjab,alluvial,105,42,40,7.1,48.5,7.1,75.0,Rabi,12,wheat
pune,maharashtra,black,94,57,64,16.4,43.2,6.3,170.8,Kharif,8,sorghum
chennai,tamil_nadu,clay,87,38,74,26.7,59.5,6.4,104.2,Annual,4,banana
mahendragarh,haryana,sandy_loam,43,29,23,21.7,32.2,7.4,55.4,Rabi,1,barley
jodhpur,rajasthan,sandy,25,29,16,41.6,32.0,8.1,11.8,Kharif,9,pulses
pune,maharashtra,black,93,56,52,25.9,61.7,6.2,132.7,Rabi,11,gram
jaipur,rajasthan,sandy,52,35,35,41.3,29.1,7.6,52.1,Rabi,12,barley
ludhiana,punjab,alluvial,96,62,45,15.8,68.4,7.3,132.5,Kharif,8,rice
jaipur,rajasthan,sandy,41,25,23,41.3,27.1,7.8,118.8,Kharif,8,bajra
madurai,tamil_nadu,loamy,76,31,41,28.7,65.6,6.5,141.9,Kharif,9,groundnut
mahendragarh,haryana,sandy_loam,60,19,49,17.2,55.2,7.5,23.8,Rabi,1,barley
madurai,tamil_nadu,loamy,95,35,44,29.2,63.8,6.1,218.9,Kharif,7,groundnut
ludhiana,punjab,alluvial,79,55,59,27.3,55.3,6.8,175.2,Kharif,6,sugarcane
jaipur,rajasthan,sandy,60,19,32,24.2,33.0,8.1,33.7,Kharif,9,bajra
ludhiana,punjab,alluvial,91,69,55,21.7,64.6,6.8,94.8,Kharif,9,maize
chennai,tamil_nadu,clay,91,39,68,30.5,65.4,6.8,172.4,Annual,11,banana
jaipur,rajasthan,sandy,40,33,32,25.1,38.3,7.1,94.5,Rabi,12,barley
kochi,kerala,loamy,97,39,71,30.8,76.9,6.5,283.0,Annual,7,pepper
ludhiana,punjab,alluvial,103,69,44,8.4,44.3,7.4,195.5,Kharif,6,sugarcane
ludhiana,punjab,alluvial,91,59,52,18.7,42.4,6.8,151.2,Kharif,8,sugarcane
jodhpur,rajasthan,sandy,51,27,16,35.6,17.0,8.2,30.1,Kharif,8,pulses
pune,maharashtra,black,77,33,41,23.4,59.3,6.9,66.4,Rabi,11,gram
thiruvananthapuram,kerala,laterite,72,41,48,25.2,79.6,5.8,354.4,Kharif,8,rice
amritsar,punjab,alluvial,109,67,47,23.1,42.2,7.4,57.2,Rabi,11,wheat
jaipur,rajasthan,sandy,54,23,41,20.2,39.1,8.4,87.8,Kharif,8,pulses
amritsar,punjab,alluvial,92,58,44,23.6,47.7,6.8,141.4,Rabi,2,wheat
pune,maharashtra,black,56,37,59,25.9,55.1,7.0,101.3,Kharif,9,groundnut
lucknow,uttar_pradesh,alluvial,77,30,53,32.5,71.1,7.5,233.0,Kharif,9,sugarcane
kochi,kerala,loamy,69,52,54,28.5,84.3,6.2,380.2,Annual,5,pepper
madurai,tamil_nadu,loamy,90,33,63,30.2,51.0,6.8,84.7,Kharif,7,groundnut
kolkata,west_bengal,alluvial,62,39,50,30.5,65.3,6.1,217.1,Annual,3,tea
kolkata,west_bengal,alluvial,89,38,45,23.6,84.7,6.5,265.2,Annual,9,tea
kochi,kerala,loamy,84,34,49,29.3,78.4,6.2,368.6,Annual,2,banana
siliguri,west_bengal,laterite,57,50,47,15.2,73.4,5.7,284.6,Kharif,8,maize
madurai,tamil_nadu,loamy,74,50,65,26.8,66.9,6.5,166.7,Annual,10,banana
jodhpur,rajasthan,sandy,24,30,29,42.0,19.1,7.9,19.8,Kharif,7,pulses
mahendragarh,haryana,sandy_loam,32,18,27,32.2,25.4,7.5,107.2,Kharif,9,bajra
kochi,kerala,loamy,64,56,46,29.8,84.2,6.4,269.9,Annual,10,pepper
kochi,kerala,loamy,83,58,55,30.0,76.5,6.2,336.1,Annual,4,banana
madurai,tamil_nadu,loamy,75,38,41,34.6,73.7,6.8,92.8,Annual,1,banana
pune,maharashtra,black,53,55,56,19.6,39.4,6.6,69.6,Rabi,11,gram
thiruvananthapuram,kerala,laterite,87,36,61,31.0,75.9,5.2,378.1,Kharif,7,tapioca
mahendragarh,haryana,sandy_loam,33,32,28,30.0,24.4,7.9,37.1,Kharif,7,bajra
kolkata,west_bengal,alluvial,60,35,48,20.7,82.3,6.5,254.2,Kharif,8,rice
jaipur,rajasthan,sandy,57,33,23,29.9,21.6,7.9,92.7,Rabi,1,barley
lucknow,uttar_pradesh,alluvial,89,50,65,10.8,79.9,7.3,141.0,Kharif,8,sugarcane
ludhiana,punjab,alluvial,74,68,32,16.7,44.5,6.6,143.6,Kharif,9,sugarcane
chennai,tamil_nadu,clay,80,47,73,27.5,70.2,6.6,214.8,Annual,12,banana
ludhiana,punjab,alluvial,98,68,37,19.2,64.8,6.9,159.4,Kharif,9,rice
kolkata,west_bengal,alluvial,81,38,51,33.4,80.6,6.5,136.4,Kharif,8,jute
ludhiana,punjab,alluvial,76,63,53,18.1,43.9,6.6,193.5,Rabi,2,wheat
jodhpur,rajasthan,sandy,46,21,36,42.7,22.7,8.4,13.6,Kharif,6,pulses
nagpur,maharashtra,black,82,38,72,21.8,56.3,6.2,75.2,Annual,5,oranges
lucknow,uttar_pradesh,alluvial,67,54,43,24.9,72.3,7.3,245.2,Kharif,8,sugarcane
lucknow,uttar_pradesh,alluvial,98,59,56,31.6,50.7,6.3,193.5,Kharif,6,sugarcane
nagpur,maharashtra,black,60,40,49,28.2,46.0,6.1,148.6,Kharif,8,soybean
mahendragarh,haryana,sandy_loam,49,28,34,18.5,34.8,7.7,121.0,Rabi,12,wheat
chennai,tamil_nadu,clay,63,39,50,33.1,56.5,6.1,155.3,Annual,2,banana
siliguri,west_bengal,laterite,68,33,41,24.8,62.8,5.6,206.6,Kharif,9,rice
madurai,tamil_nadu,loamy,83,51,44,22.6,59.9,6.6,81.1,Kharif,9,groundnut
nagpur,maharashtra,black,76,44,60,20.2,49.9,6.4,78.1,Kharif,7,cotton
jodhpur,rajasthan,sandy,24,22,38,22.9,10.6,8.4,70.3,Kharif,8,millets
chennai,tamil_nadu,clay,105,55,66,27.5,67.2,7.4,109.2,Kharif,9,groundnut
chennai,tamil_nadu,clay,65,48,46,26.9,72.7,6.8,147.3,Kharif,8,groundnut
nagpur,maharashtra,black,74,45,50,19.4,55.3,6.5,87.1,Annual,6,oranges
thiruvananthapuram,kerala,laterite,59,37,38,25.2,73.6,5.9,347.2,Annual,6,coconut
madurai,tamil_nadu,loamy,90,45,49,31.8,69.0,6.4,209.4,Annual,3,sugarcane
chennai,tamil_nadu,clay,99,45,60,25.8,57.0,6.7,131.5,Annual,11,banana
nagpur,maharashtra,black,82,51,44,23.6,48.1,6.1,176.4,Annual,1,oranges
ludhiana,punjab,alluvial,99,58,47,33.8,62.2,6.5,186.4,Rabi,2,wheat
chennai,tamil_nadu,clay,80,54,70,30.0,83.7,6.7,217.9,Annual,4,banana
lucknow,uttar_pradesh,alluvial,92,50,40,11.0,68.3,7.5,159.6,Rabi,11,wheat
chennai,tamil_nadu,clay,83,44,64,28.9,65.2,6.9,214.2,Annual,6,sugarcane
madurai,tamil_nadu,loamy,71,33,52,30.8,57.1,6.7,171.9,Annual,2,banana
chennai,tamil_nadu,clay,65,53,49,35.0,64.3,7.0,192.6,Annual,6,sugarcane
amritsar,punjab,alluvial,89,57,47,23.7,44.9,6.6,124.3,Kharif,6,maize
kochi,kerala,loamy,87,53,41,26.5,77.7,5.7,436.9,Kharif,9,rice
jaipur,rajasthan,sandy,33,19,22,26.5,38.6,7.8,74.0,Kharif,7,bajra
kochi,kerala,loamy,94,38,64,25.1,77.7,6.2,356.2,Kharif,8,rice
amritsar,punjab,alluvial,72,53,46,24.6,42.1,6.9,74.2,Kharif,9,maize
kochi,kerala,loamy,89,45,59,30.8,86.8,6.4,248.5,Annual,4,pepper
madurai,tamil_nadu,loamy,79,54,44,32.1,62.6,6.4,102.7,Kharif,9,groundnut
pune,maharashtra,black,66,31,65,31.6,54.4,6.1,178.4,Rabi,12,wheat
lucknow,uttar_pradesh,alluvial,65,54,40,17.1,76.2,6.2,143.1,Kharif,8,rice
pune,maharashtra,black,51,43,38,22.5,48.1,6.4,71.4,Kharif,8,groundnut
pune,maharashtra,black,56,56,56,30.0,39.8,6.3,176.2,Kharif,8,cotton
kochi,kerala,loamy,85,58,40,30.3,75.3,5.7,237.4,Annual,12,coconut
kochi,kerala,loamy,73,45,59,24.9,78.6,6.1,355.7,Annual,2,pepper
ludhiana,punjab,alluvial,108,57,30,25.1,57.3,7.2,93.7,Rabi,2,wheat
mahendragarh,haryana,sandy_loam,40,33,33,14.7,46.7,7.5,66.9,Rabi,1,gram
jodhpur,rajasthan,sandy,50,11,35,30.5,21.2,8.2,35.0,Kharif,9,millets
ludhiana,punjab,alluvial,110,43,54,23.7,62.7,6.6,102.8,Kharif,7,maize
kolkata,west_bengal,alluvial,86,54,61,26.5,80.9,6.6,266.1,Annual,3,tea
ludhiana,punjab,alluvial,88,46,31,29.4,66.6,6.8,96.5,Kharif,6,sugarcane
siliguri,west_bengal,laterite,63,26,59,23.4,67.2,6.3,159.6,Kharif,9,maize
madurai,tamil_nadu,loamy,57,55,46,27.7,60.0,6.4,213.9,Annual,5,banana
kolkata,west_bengal,alluvial,82,45,51,32.9,75.6,6.8,250.9,Kharif,9,rice
ludhiana,punjab,alluvial,104,49,40,10.8,49.8,6.8,116.9,Kharif,7,sugarcane
kochi,kerala,loamy,99,58,62,27.1,85.9,6.4,353.7,Annual,3,pepper
siliguri,west_bengal,laterite,57,46,55,20.3,72.8,6.1,182.0,Kharif,6,rice
mahendragarh,haryana,sandy_loam,27,19,22,15.9,45.8,7.4,143.4,Rabi,2,barley
mahendragarh,haryana,sandy_loam,53,26,31,21.1,23.1,7.1,67.7,Rabi,12,gram
kolkata,west_bengal,alluvial,67,33,40,30.3,75.0,6.4,221.1,Annual,5,tea
nagpur,maharashtra,black,73,54,58,30.5,69.9,6.2,79.0,Kharif,9,soybean
ludhiana,punjab,alluvial,98,42,55,26.4,65.4,6.8,102.1,Kharif,7,sugarcane
ludhiana,punjab,alluvial,80,62,52,33.0,59.1,7.3,126.3,Kharif,8,maize
ludhiana,punjab,alluvial,85,65,45,8.7,56.6,6.9,170.5,Kharif,7,rice
jodhpur,rajasthan,sandy,24,19,27,44.0,31.6,8.0,63.8,Kharif,6,millets
lucknow,uttar_pradesh,alluvial,68,40,55,11.9,58.6,6.8,84.4,Kharif,6,sugarcane
lucknow,uttar_pradesh,alluvial,68,43,51,33.7,42.2,6.2,89.1,Kharif,7,sugarcane
amritsar,punjab,alluvial,115,47,46,31.6,50.6,6.8,49.5,Rabi,1,wheat
pune,maharashtra,black,58,50,54,26.7,38.3,6.6,142.9,Rabi,1,gram
chennai,tamil_nadu,clay,102,54,61,34.1,71.9,7.2,84.8,Annual,3,sugarcane
mahendragarh,haryana,sandy_loam,38,39,38,20.4,45.6,7.5,101.5,Rabi,1,gram
nagpur,maharashtra,black,90,42,65,23.4,32.9,6.1,121.5,Annual,5,oranges
jaipur,rajasthan,sandy,46,34,24,26.9,36.6,8.1,106.1,Rabi,12,barley
siliguri,west_bengal,laterite,71,42,38,19.1,71.7,5.4,199.6,Annual,6,tea
ludhiana,punjab,alluvial,94,67,49,19.3,68.9,7.4,172.0,Rabi,1,wheat
chennai,tamil_nadu,clay,72,59,50,30.0,70.4,6.7,132.5,Annual,6,banana
mahendragarh,haryana,sandy_loam,57,29,50,16.0,43.3,7.0,56.6,Rabi,2,wheat
chennai,tamil_nadu,clay,90,44,74,24.1,58.2,6.2,125.0,Annual,11,banana
kolkata,west_bengal,alluvial,61,42,41,28.0,65.8,6.6,133.2,Kharif,8,jute
jodhpur,rajasthan,sandy,27,14,18,30.7,33.8,7.8,75.7,Kharif,8,pulses
thiruvananthapuram,kerala,laterite,88,46,47,28.0,70.8,5.2,253.3,Kharif,7,rice
jaipur,rajasthan,sandy,34,34,36,23.1,42.9,7.5,59.3,Kharif,9,pulses
chennai,tamil_nadu,clay,97,45,72,33.9,71.0,7.1,131.0,Annual,5,banana
lucknow,uttar_pradesh,alluvial,81,51,38,35.5,63.3,7.2,197.8,Kharif,8,rice
kochi,kerala,loamy,71,44,43,28.1,77.6,6.1,354.9,Kharif,9,rice
lucknow,uttar_pradesh,alluvial,75,31,53,34.7,44.4,6.0,119.6,Rabi,12,wheat
amritsar,punjab,alluvial,96,56,59,22.9,49.1,7.3,127.3,Kharif,7,rice
kochi,kerala,loamy,68,65,60,31.0,82.2,5.9,439.2,Annual,9,coconut
jaipur,rajasthan,sandy,59,26,41,37.0,36.6,8.0,89.3,Kharif,8,pulses
chennai,tamil_nadu,clay,75,43,75,27.6,83.2,7.5,211.1,Kharif,7,groundnut
kochi,kerala,loamy,100,61,60,27.4,83.4,6.4,380.4,Annual,12,coconut
nagpur,maharashtra,black,85,61,62,35.2,62.2,6.3,100.3,Kharif,9,cotton
kochi,kerala,loamy,83,46,70,25.5,87.4,5.8,340.5,Kharif,8,rice
nagpur,maharashtra,black,99,58,55,22.4,56.8,6.5,149.3,Kharif,6,cotton
mahendragarh,haryana,sandy_loam,46,37,35,12.5,50.8,7.0,91.5,Rabi,2,wheat
amritsar,punjab,alluvial,100,60,41,26.7,43.6,6.8,47.1,Kharif,9,rice
thiruvananthapuram,kerala,laterite,84,53,58,30.8,70.7,6.4,271.9,Kharif,7,rice
lucknow,uttar_pradesh,alluvial,85,55,50,14.8,70.0,7.3,115.0,Kharif,6,rice
mahendragarh,haryana,sandy_loam,31,25,29,21.4,45.7,7.5,135.6,Rabi,1,wheat
amritsar,punjab,alluvial,87,46,60,9.9,39.9,7.0,70.9,Kharif,9,maize
amritsar,punjab,alluvial,88,58,56,26.7,40.3,7.4,147.6,Rabi,1,wheat
lucknow,uttar_pradesh,alluvial,65,42,56,12.5,79.3,6.7,237.8,Rabi,1,wheat
mahendragarh,haryana,sandy_loam,40,29,44,16.7,33.2,7.6,94.5,Kharif,9,bajra
nagpur,maharashtra,black,104,42,43,30.0,48.6,6.2,156.1,Annual,6,oranges
kochi,kerala,loamy,62,48,63,28.3,78.3,5.6,238.3,Annual,12,banana
kochi,kerala,loamy,99,65,70,29.3,87.0,6.3,390.5,Annual,7,banana
madurai,tamil_nadu,loamy,83,44,51,31.1,52.0,6.6,88.6,Kharif,6,groundnut
jodhpur,rajasthan,sandy,30,20,31,31.7,30.4,8.2,44.2,Kharif,7,millets
jodhpur,rajasthan,sandy,49,14,31,31.1,26.9,8.1,57.1,Kharif,6,pulses
nagpur,maharashtra,black,85,43,40,31.4,53.1,6.0,108.2,Annual,1,oranges
ludhiana,punjab,alluvial,100,41,39,19.0,63.1,7.3,196.7,Rabi,11,wheat
madurai,tamil_nadu,loamy,74,44,62,33.9,59.4,6.1,215.0,Annual,6,banana
lucknow,uttar_pradesh,alluvial,82,33,40,35.8,55.7,6.2,246.0,Kharif,7,sugarcane
lucknow,uttar_pradesh,alluvial,79,44,56,28.7,57.0,6.6,103.6,Kharif,6,rice
jaipur,rajasthan,sandy,42,21,43,36.8,16.0,8.0,81.5,Rabi,12,barley
mahendragarh,haryana,sandy_loam,29,18,39,10.8,43.9,7.7,26.3,Rabi,12,barley
kochi,kerala,loamy,83,44,74,25.5,88.0,5.6,326.0,Kharif,9,rice
nagpur,maharashtra,black,96,54,60,22.3,65.1,7.0,133.0,Kharif,8,cotton
siliguri,west_bengal,laterite,56,42,53,26.4,82.8,5.9,235.4,Kharif,8,rice
jaipur,rajasthan,sandy,49,40,36,27.0,27.5,7.2,57.6,Kharif,8,bajra
thiruvananthapuram,kerala,laterite,65,37,44,30.9,72.6,5.7,192.7,Kharif,9,tapioca
siliguri,west_bengal,laterite,67,32,43,17.6,76.2,6.4,319.4,Kharif,7,rice
ludhiana,punjab,alluvial,87,52,51,24.3,41.2,6.6,170.7,Kharif,6,rice
chennai,tamil_nadu,clay,95,41,70,26.5,82.2,6.5,234.5,Annual,11,banana
pune,maharashtra,black,80,59,50,28.2,59.6,6.4,93.5,Kharif,6,soybean
kolkata,west_bengal,alluvial,74,47,60,25.0,67.8,6.5,209.5,Kharif,9,jute
ludhiana,punjab,alluvial,83,51,40,19.2,56.9,6.7,71.9,Kharif,8,sugarcane
nagpur,maharashtra,black,97,58,66,23.3,37.8,6.2,139.8,Annual,10,oranges
pune,maharashtra,black,66,54,66,33.4,57.5,6.5,83.6,Kharif,8,groundnut
thiruvananthapuram,kerala,laterite,58,53,52,27.9,86.5,5.8,321.2,Annual,3,coconut
mahendragarh,haryana,sandy_loam,29,36,21,29.1,36.5,7.8,50.1,Rabi,11,gram
kochi,kerala,loamy,68,62,69,26.6,84.3,6.2,354.1,Annual,1,coconut
jaipur,rajasthan,sandy,26,15,37,32.1,15.4,7.8,47.5,Kharif,9,pulses
nagpur,maharashtra,black,71,38,46,27.4,39.6,6.6,95.3,Kharif,9,cotton
kolkata,west_bengal,alluvial,62,41,52,26.4,67.3,6.7,174.0,Kharif,9,jute
lucknow,uttar_pradesh,alluvial,65,42,47,19.8,59.0,7.0,193.5,Kharif,6,rice
ludhiana,punjab,alluvial,91,58,57,34.3,66.8,7.4,84.5,Kharif,9,sugarcane
lucknow,uttar_pradesh,alluvial,77,31,64,11.9,77.0,7.3,167.1,Kharif,9,sugarcane
mahendragarh,haryana,sandy_loam,26,21,38,13.6,52.8,7.8,140.8,Rabi,1,barley
nagpur,maharashtra,black,96,61,64,30.2,51.6,6.4,163.6,Kharif,7,cotton
thiruvananthapuram,kerala,laterite,82,53,46,24.4,77.9,6.3,254.9,Kharif,6,tapioca
thiruvananthapuram,kerala,laterite,70,30,55,26.2,87.9,5.7,258.3,Kharif,9,tapioca
siliguri,west_bengal,laterite,76,43,56,19.9,79.3,5.4,199.3,Kharif,7,rice
ludhiana,punjab,alluvial,79,52,52,29.2,44.6,6.9,104.1,Rabi,1,wheat
ludhiana,punjab,alluvial,98,51,54,15.3,44.0,6.7,117.3,Rabi,1,wheat
jodhpur,rajasthan,sandy,21,12,26,34.2,27.9,8.3,70.5,Kharif,6,pulses
mahendragarh,haryana,sandy_loam,49,39,22,28.1,42.4,8.0,51.6,Kharif,9,bajra
jodhpur,rajasthan,sandy,30,14,23,28.6,24.8,7.6,40.4,Kharif,9,millets
siliguri,west_bengal,laterite,80,27,46,18.3,66.2,5.9,268.8,Kharif,9,rice
pune,maharashtra,black,58,39,35,33.0,46.6,6.6,172.6,Kharif,6,groundnut
kolkata,west_bengal,alluvial,73,50,59,21.9,69.6,6.9,156.2,Kharif,8,jute
kolkata,west_bengal,alluvial,90,40,49,30.3,79.0,7.0,260.8,Kharif,9,rice
kolkata,west_bengal,alluvial,86,55,52,25.1,88.0,6.2,299.5,Kharif,8,jute
amritsar,punjab,alluvial,99,70,57,12.5,58.9,7.3,48.3,Kharif,6,maize
lucknow,uttar_pradesh,alluvial,68,50,44,16.3,66.3,7.1,209.9,Rabi,2,wheat
ludhiana,punjab,alluvial,107,52,47,21.7,67.6,7.2,131.5,Kharif,9,sugarcane
thiruvananthapuram,kerala,laterite,84,49,55,31.3,72.0,5.4,326.2,Annual,12,coconut
amritsar,punjab,alluvial,106,60,56,23.8,64.0,6.8,135.5,Kharif,6,maize
ludhiana,punjab,alluvial,86,47,46,28.2,56.7,7.2,83.2,Rabi,11,wheat
kolkata,west_bengal,alluvial,84,51,58,29.7,64.5,7.0,206.9,Kharif,9,jute
nagpur,maharashtra,black,67,61,49,24.3,43.7,6.8,133.0,Kharif,6,soybean
kolkata,west_bengal,alluvial,74,53,62,26.3,62.0,6.0,247.9,Kharif,6,jute
mahendragarh,haryana,sandy_loam,35,38,27,22.9,42.1,7.3,75.4,Kharif,6,bajra
jaipur,rajasthan,sandy,36,20,40,34.5,26.9,8.1,108.3,Kharif,9,bajra
jaipur,rajasthan,sandy,49,15,42,24.7,23.4,8.1,99.6,Kharif,9,pulses
